	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00864175619308993	0.991395476452951	0.105171052977812	-0.082168581072523	0.934512657606736	0.806724358507627	1.21834054019342
BRCA	0.0002391963484202	1.00023922495815	0.142252909887678	0.00168148650603399	0.998658368509858	0.756864238031023	1.32187314035026
CESC	-0.287709795454374	0.749979208036264	0.213497691154606	-1.34760143727281	0.17778660807039	0.493536934531573	1.13966913746902
CHOL	0.618099785186881	1.8553990332438	0.45708984006409	1.35225010711289	0.176295319266208	0.757463567065906	4.54478039900563
COAD	-0.150473073982785	0.860300894172239	0.154623801544709	-0.973155959687587	0.330475795286652	0.635381193063338	1.16484031411955
ESCA	0.0741916346131442	1.07701317872532	0.186408436475517	0.398005777076986	0.690625927305413	0.747394450304643	1.55200160594611
GBM	-0.112100523778784	0.893954389310214	0.215447434500328	-0.520314962388718	0.602844069004917	0.586038532785088	1.3636551275376
HNSC	-0.0889204830681625	0.914918322179902	0.118855909962563	-0.748136824632198	0.454377632192402	0.724789663199962	1.15492201222184
KICH	-1.34523545225423	0.260478370419747	0.80803166939252	-1.66483010902974	0.0959466551266854	0.0534532187960372	1.26931516912798
KIRC	-0.338121220318784	0.713108839377892	0.169613243442905	-1.99348360691305	0.0462085168518881	0.511423600302987	0.994330759271992
KIRP	-1.19608157173617	0.302376735128211	0.243104712530424	-4.92002626887163	8.65325978743872e-07	0.187766135096571	0.486944516910738
LIHC	-0.525053889437272	0.591523486640058	0.135717983559376	-3.86871272079843	0.000109411459279792	0.453365675129231	0.771783252331735
LUAD	-0.599096869273159	0.549307508630988	0.134147719350453	-4.46594897158149	7.97146099960739e-06	0.42230749556804	0.714500079219571
LUSC	0.140690398851133	1.15106822076888	0.124006836833047	1.13453743716201	0.256569179306406	0.90270584184164	1.46776279431287
PAAD	-0.806017567891562	0.446633215629441	0.250216944330762	-3.22127492223743	0.00127621661212285	0.273505439974183	0.729350134031429
PCPG	-1.40949227982702	0.244267271096319	1.03186184643271	-1.36596995489253	0.1719483939078	0.0323253238486032	1.84581289914659
PRAD	0.250573398880688	1.28476188654976	0.686035419559006	0.365248486793526	0.714925927464954	0.334863827264042	4.92920695142563
READ	0.0410867076051985	1.04194244596307	0.331956233562164	0.123771459762343	0.901496229831171	0.543603284487295	1.99712564600016
SARC	-0.213474497070264	0.80777276045983	0.0900118682368139	-2.37162611166596	0.0177100017544517	0.677128296258272	0.963623638454503
STAD	-0.223894532843763	0.7993994403092	0.154601279927225	-1.44820620469091	0.147559389843603	0.590428063696115	1.08233247106555
THCA	0.0918165739601976	1.09616373866586	0.596203808077131	0.154001991795932	0.877608165095813	0.340710744824854	3.52667170089862
THYM	1.06888461434045	2.91212954030671	0.953958302957386	1.12047309722739	0.262512210650451	0.448951999540809	18.88954380023
UCEC	-0.169609994545977	0.84399391464707	0.184028953104066	-0.921648423713332	0.356711991412433	0.58842834715425	1.21055644481818
