,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000180628.13,3059,-0.570678843069083,5.80794147273794e-29,-0.670826442415255,-0.47053124372291,90.9462717734087,0.0490809656837326,PCGF5
ENSG00000084676.14,54499,-0.550078241938055,4.99566973164097e-24,-0.656720052021177,-0.443436431854932,93.017969535162,0.0580572986424964,NCOA1
ENSG00000080503.18,25652,-0.787596770115553,3.81473778253646e-22,-0.947132405814991,-0.628061134416115,96.1865949023192,0.133108239262506,SMARCA2
ENSG00000114166.7,25718,-1.13517498655294,1.37086509524169e-15,-1.41370369532459,-0.856646277781295,98.2280593659555,0.437368325989927,KAT2B
ENSG00000136014.10,38345,-1.72153718830625,9.4342940415316e-15,-2.15709934742043,-1.28597502919208,97.5416820551465,1.04793807773535,USP44
ENSG00000109819.7,15489,-1.82660653539221,4.14747602145236e-12,-2.34305929994446,-1.31015377083997,97.9657531544999,1.42166400369634,PPARGC1A
ENSG00000164169.11,34776,-0.40798230700642,1.07938982627625e-11,-0.525652950573782,-0.290311663439058,94.2354353272677,0.0704237397688356,PRMT9
ENSG00000141431.8,48539,-2.17382677833105,2.58395408171031e-11,-2.81274246520994,-1.53491109145216,98.2225274336779,2.29375082792631,ASXL3
ENSG00000096717.10,3197,-0.468434988578263,2.60255223110784e-11,-0.606135805083753,-0.330734172072773,95.2711827470287,0.0976748022033256,SIRT1
ENSG00000156256.13,46989,-0.267307273346661,8.18538658940835e-11,-0.347944527542084,-0.186670019151238,91.4984681849274,0.0301523610352526,USP16
ENSG00000024048.9,27152,-0.226778127943197,1.42478128454536e-10,-0.296084497706625,-0.157471758179769,88.9143216091708,0.0226663675689596,UBR2
ENSG00000015171.17,34667,-0.511191051940845,2.01935973039322e-10,-0.668728457165557,-0.353653646716133,97.4593904261569,0.133085953753852,ZMYND11
ENSG00000109906.12,16418,-2.91147969271216,5.0319244688351e-10,-3.82918607807468,-1.99377330734964,98.6318714518855,4.753884122166,ZBTB16
ENSG00000128573.21,55215,-2.33665921386935,5.32317433769892e-10,-3.07422882793285,-1.59908959980585,98.7147835245187,2.94141559420549,FOXP2
ENSG00000198157.9,32920,-0.808668957530925,9.24675092023303e-10,-1.06756941036679,-0.549768504695059,97.4313563649268,0.364096610143117,HMGN5
ENSG00000141027.19,58215,-0.360048249036743,1.83993537886071e-09,-0.477439935542868,-0.242656562530617,93.8175556182766,0.0691798729381302,NCOR1
ENSG00000235268.2,1492,-2.28660332666672,1.88465201760095e-09,-3.03262052256037,-1.54058613077307,86.7791002438091,2.51772642937086,KDM4E
ENSG00000116731.21,22300,-0.421380596881858,2.59524911494676e-09,-0.560061209646853,-0.282699984116864,96.2743834242173,0.102968312743044,PRDM2
ENSG00000146414.14,33410,-0.542035057864363,3.13611175417875e-09,-0.72135875527839,-0.362711360450336,91.9227182804299,0.150924261293167,SHPRH
ENSG00000154655.13,6559,-0.968102193854043,4.97029536213895e-09,-1.29255368956769,-0.643650698140395,97.6835379572454,0.560302992452444,L3MBTL4
ENSG00000163939.17,13377,-0.298716229688176,7.96171752058908e-09,-0.400197591761856,-0.197234867614497,90.9889541370131,0.0483150877205474,PBRM1
ENSG00000106829.17,57076,-0.807144800599955,9.05768176578459e-09,-1.08239089151079,-0.53189870968912,98.2378531046858,0.417013798760874,TLE4
ENSG00000096968.11,6313,-0.50268903217194,9.11628089130436e-09,-0.674144583004483,-0.331233481339397,95.164141448855,0.154424917796742,JAK2
